SUBJECT,Subject,LOCATION,Country,FREQUENCY,Frequency,TIME,Time,Unit Code,Unit,PowerCode Code,PowerCode,Reference Period Code,Reference Period,Value,Flag Codes,Flags
CCUS,"Currency exchange rates, monthly average",IND,India,A,Annual,1957,1957,NATUSD,National currency per US dollar,0,Units,,,4.7916669999999995,,
CCUS,"Currency exchange rates, monthly average",IND,India,A,Annual,1958,1958,NATUSD,National currency per US dollar,0,Units,,,4.764833,,
CCUS,"Currency exchange rates, monthly average",IND,India,A,Annual,1959,1959,NATUSD,National currency per US dollar,0,Units,,,4.765833,,
CCUS,"Currency exchange rates, monthly average",IND,India,A,Annual,1960,1960,NATUSD,National currency per US dollar,0,Units,,,4.7619,,
CCUS,"Currency exchange rates, monthly average",IND,India,A,Annual,1961,1961,NATUSD,National currency per US dollar,0,Units,,,4.7619,,
CCUS,"Currency exchange rates, monthly average",IND,India,A,Annual,1962,1962,NATUSD,National currency per US dollar,0,Units,,,4.7619,,
CCUS,"Currency exchange rates, monthly average",IND,India,A,Annual,1963,1963,NATUSD,National currency per US dollar,0,Units,,,4.7619,,
CCUS,"Currency exchange rates, monthly average",IND,India,A,Annual,1964,1964,NATUSD,National currency per US dollar,0,Units,,,4.7619,,
CCUS,"Currency exchange rates, monthly average",IND,India,A,Annual,1965,1965,NATUSD,National currency per US dollar,0,Units,,,4.7619,,
CCUS,"Currency exchange rates, monthly average",IND,India,A,Annual,1966,1966,NATUSD,National currency per US dollar,0,Units,,,6.359125,,
CCUS,"Currency exchange rates, monthly average",IND,India,A,Annual,1967,1967,NATUSD,National currency per US dollar,0,Units,,,7.5,,
CCUS,"Currency exchange rates, monthly average",IND,India,A,Annual,1968,1968,NATUSD,National currency per US dollar,0,Units,,,7.5,,
CCUS,"Currency exchange rates, monthly average",IND,India,A,Annual,1969,1969,NATUSD,National currency per US dollar,0,Units,,,7.5,,
CCUS,"Currency exchange rates, monthly average",IND,India,A,Annual,1970,1970,NATUSD,National currency per US dollar,0,Units,,,7.5,,
CCUS,"Currency exchange rates, monthly average",IND,India,A,Annual,1971,1971,NATUSD,National currency per US dollar,0,Units,,,7.491935000000001,,
CCUS,"Currency exchange rates, monthly average",IND,India,A,Annual,1972,1972,NATUSD,National currency per US dollar,0,Units,,,7.594469,,
CCUS,"Currency exchange rates, monthly average",IND,India,A,Annual,1973,1973,NATUSD,National currency per US dollar,0,Units,,,7.742039,,
CCUS,"Currency exchange rates, monthly average",IND,India,A,Annual,1974,1974,NATUSD,National currency per US dollar,0,Units,,,8.101604,,
CCUS,"Currency exchange rates, monthly average",IND,India,A,Annual,1975,1975,NATUSD,National currency per US dollar,0,Units,,,8.375892,,
CCUS,"Currency exchange rates, monthly average",IND,India,A,Annual,1976,1976,NATUSD,National currency per US dollar,0,Units,,,8.960413,,
CCUS,"Currency exchange rates, monthly average",IND,India,A,Annual,1977,1977,NATUSD,National currency per US dollar,0,Units,,,8.738576,,
CCUS,"Currency exchange rates, monthly average",IND,India,A,Annual,1978,1978,NATUSD,National currency per US dollar,0,Units,,,8.192841,,
CCUS,"Currency exchange rates, monthly average",IND,India,A,Annual,1979,1979,NATUSD,National currency per US dollar,0,Units,,,8.125791,,
CCUS,"Currency exchange rates, monthly average",IND,India,A,Annual,1980,1980,NATUSD,National currency per US dollar,0,Units,,,7.862945,,
CCUS,"Currency exchange rates, monthly average",IND,India,A,Annual,1981,1981,NATUSD,National currency per US dollar,0,Units,,,8.658522999999999,,
CCUS,"Currency exchange rates, monthly average",IND,India,A,Annual,1982,1982,NATUSD,National currency per US dollar,0,Units,,,9.455132,,
CCUS,"Currency exchange rates, monthly average",IND,India,A,Annual,1983,1983,NATUSD,National currency per US dollar,0,Units,,,10.0989,,
CCUS,"Currency exchange rates, monthly average",IND,India,A,Annual,1984,1984,NATUSD,National currency per US dollar,0,Units,,,11.36258,,
