KINDPATENT,Patent office,KINDREGION,Reference region,REGIONS,Regions,TECHNO,Total patents and by technologies,TIME,Time,Unit Code,Unit,PowerCode Code,PowerCode,Reference Period Code,Reference Period,Value,Flag Codes,Flags
EPO_A,Patent applications to the EPO,INVENTORS,Inventor(s)'s country(ies) of residence,IND,India,TOTAL,Total Patents,1977,1977,NBR,Number,0,Units,,,1.0,,
EPO_A,Patent applications to the EPO,INVENTORS,Inventor(s)'s country(ies) of residence,IND,India,TOTAL,Total Patents,1978,1978,NBR,Number,0,Units,,,3.25,,
EPO_A,Patent applications to the EPO,INVENTORS,Inventor(s)'s country(ies) of residence,IND,India,TOTAL,Total Patents,1979,1979,NBR,Number,0,Units,,,4.8333,,
EPO_A,Patent applications to the EPO,INVENTORS,Inventor(s)'s country(ies) of residence,IND,India,TOTAL,Total Patents,1980,1980,NBR,Number,0,Units,,,12.25,,
EPO_A,Patent applications to the EPO,INVENTORS,Inventor(s)'s country(ies) of residence,IND,India,TOTAL,Total Patents,1981,1981,NBR,Number,0,Units,,,9.8238,,
EPO_A,Patent applications to the EPO,INVENTORS,Inventor(s)'s country(ies) of residence,IND,India,TOTAL,Total Patents,1982,1982,NBR,Number,0,Units,,,2.9762,,
EPO_A,Patent applications to the EPO,INVENTORS,Inventor(s)'s country(ies) of residence,IND,India,TOTAL,Total Patents,1983,1983,NBR,Number,0,Units,,,8.7056,,
EPO_A,Patent applications to the EPO,INVENTORS,Inventor(s)'s country(ies) of residence,IND,India,TOTAL,Total Patents,1984,1984,NBR,Number,0,Units,,,13.7833,,
EPO_A,Patent applications to the EPO,INVENTORS,Inventor(s)'s country(ies) of residence,IND,India,TOTAL,Total Patents,1985,1985,NBR,Number,0,Units,,,11.9905,,
EPO_A,Patent applications to the EPO,INVENTORS,Inventor(s)'s country(ies) of residence,IND,India,TOTAL,Total Patents,1986,1986,NBR,Number,0,Units,,,16.631,,
EPO_A,Patent applications to the EPO,INVENTORS,Inventor(s)'s country(ies) of residence,IND,India,TOTAL,Total Patents,1987,1987,NBR,Number,0,Units,,,10.8095,,
EPO_A,Patent applications to the EPO,INVENTORS,Inventor(s)'s country(ies) of residence,IND,India,TOTAL,Total Patents,1988,1988,NBR,Number,0,Units,,,23.0226,,
EPO_A,Patent applications to the EPO,INVENTORS,Inventor(s)'s country(ies) of residence,IND,India,TOTAL,Total Patents,1989,1989,NBR,Number,0,Units,,,22.625,,
EPO_A,Patent applications to the EPO,INVENTORS,Inventor(s)'s country(ies) of residence,IND,India,TOTAL,Total Patents,1990,1990,NBR,Number,0,Units,,,26.2623,,
EPO_A,Patent applications to the EPO,INVENTORS,Inventor(s)'s country(ies) of residence,IND,India,TOTAL,Total Patents,1991,1991,NBR,Number,0,Units,,,15.3897,,
EPO_A,Patent applications to the EPO,INVENTORS,Inventor(s)'s country(ies) of residence,IND,India,TOTAL,Total Patents,1992,1992,NBR,Number,0,Units,,,25.6806,,
EPO_A,Patent applications to the EPO,INVENTORS,Inventor(s)'s country(ies) of residence,IND,India,TOTAL,Total Patents,1993,1993,NBR,Number,0,Units,,,26.2499,,
EPO_A,Patent applications to the EPO,INVENTORS,Inventor(s)'s country(ies) of residence,IND,India,TOTAL,Total Patents,1994,1994,NBR,Number,0,Units,,,20.2076,,
EPO_A,Patent applications to the EPO,INVENTORS,Inventor(s)'s country(ies) of residence,IND,India,TOTAL,Total Patents,1995,1995,NBR,Number,0,Units,,,31.8687,,
EPO_A,Patent applications to the EPO,INVENTORS,Inventor(s)'s country(ies) of residence,IND,India,TOTAL,Total Patents,1996,1996,NBR,Number,0,Units,,,53.3062,,
EPO_A,Patent applications to the EPO,INVENTORS,Inventor(s)'s country(ies) of residence,IND,India,TOTAL,Total Patents,1997,1997,NBR,Number,0,Units,,,61.6548,,
EPO_A,Patent applications to the EPO,INVENTORS,Inventor(s)'s country(ies) of residence,IND,India,TOTAL,Total Patents,1998,1998,NBR,Number,0,Units,,,122.3413,,
EPO_A,Patent applications to the EPO,INVENTORS,Inventor(s)'s country(ies) of residence,IND,India,TOTAL,Total Patents,1999,1999,NBR,Number,0,Units,,,149.7861,,
EPO_A,Patent applications to the EPO,INVENTORS,Inventor(s)'s country(ies) of residence,IND,India,TOTAL,Total Patents,2000,2000,NBR,Number,0,Units,,,178.8784,,
EPO_A,Patent applications to the EPO,INVENTORS,Inventor(s)'s country(ies) of residence,IND,India,TOTAL,Total Patents,2001,2001,NBR,Number,0,Units,,,278.7606,,
