SUBJECT,Subject,LOCATION,Country,FREQUENCY,Frequency,TIME,Time,Unit Code,Unit,PowerCode Code,PowerCode,Reference Period Code,Reference Period,Value,Flag Codes,Flags
PRINTO01,"Production of total industry sa, Index",IND,India,A,Annual,1995,1995,IDX,Index,0,Units,2015_100,2015=100,31.75005,,
PRINTO01,"Production of total industry sa, Index",IND,India,A,Annual,1996,1996,IDX,Index,0,Units,2015_100,2015=100,34.6084,,
PRINTO01,"Production of total industry sa, Index",IND,India,A,Annual,1997,1997,IDX,Index,0,Units,2015_100,2015=100,36.54871,,
PRINTO01,"Production of total industry sa, Index",IND,India,A,Annual,1998,1998,IDX,Index,0,Units,2015_100,2015=100,38.21183,,
PRINTO01,"Production of total industry sa, Index",IND,India,A,Annual,1999,1999,IDX,Index,0,Units,2015_100,2015=100,40.47145,,
PRINTO01,"Production of total industry sa, Index",IND,India,A,Annual,2000,2000,IDX,Index,0,Units,2015_100,2015=100,42.91734,,
PRINTO01,"Production of total industry sa, Index",IND,India,A,Annual,2001,2001,IDX,Index,0,Units,2015_100,2015=100,44.07931,,
PRINTO01,"Production of total industry sa, Index",IND,India,A,Annual,2002,2002,IDX,Index,0,Units,2015_100,2015=100,46.23693,,
PRINTO01,"Production of total industry sa, Index",IND,India,A,Annual,2003,2003,IDX,Index,0,Units,2015_100,2015=100,49.268240000000006,,
PRINTO01,"Production of total industry sa, Index",IND,India,A,Annual,2004,2004,IDX,Index,0,Units,2015_100,2015=100,54.60796,,
PRINTO01,"Production of total industry sa, Index",IND,India,A,Annual,2005,2005,IDX,Index,0,Units,2015_100,2015=100,57.84565,B,Break
PRINTO01,"Production of total industry sa, Index",IND,India,A,Annual,2006,2006,IDX,Index,0,Units,2015_100,2015=100,64.17902,,
PRINTO01,"Production of total industry sa, Index",IND,India,A,Annual,2007,2007,IDX,Index,0,Units,2015_100,2015=100,74.2214,,
PRINTO01,"Production of total industry sa, Index",IND,India,A,Annual,2008,2008,IDX,Index,0,Units,2015_100,2015=100,79.91372,,
PRINTO01,"Production of total industry sa, Index",IND,India,A,Annual,2009,2009,IDX,Index,0,Units,2015_100,2015=100,80.07885,,
PRINTO01,"Production of total industry sa, Index",IND,India,A,Annual,2010,2010,IDX,Index,0,Units,2015_100,2015=100,87.87891,,
PRINTO01,"Production of total industry sa, Index",IND,India,A,Annual,2011,2011,IDX,Index,0,Units,2015_100,2015=100,92.09322,,
PRINTO01,"Production of total industry sa, Index",IND,India,A,Annual,2012,2012,IDX,Index,0,Units,2015_100,2015=100,91.87246999999999,,
PRINTO01,"Production of total industry sa, Index",IND,India,A,Annual,2013,2013,IDX,Index,0,Units,2015_100,2015=100,93.31222,,
PRINTO01,"Production of total industry sa, Index",IND,India,A,Annual,2014,2014,IDX,Index,0,Units,2015_100,2015=100,97.52521999999999,,
PRINTO01,"Production of total industry sa, Index",IND,India,A,Annual,2015,2015,IDX,Index,0,Units,2015_100,2015=100,100.0,,
PRINTO01,"Production of total industry sa, Index",IND,India,A,Annual,2016,2016,IDX,Index,0,Units,2015_100,2015=100,105.2073,,
PRINTO01,"Production of total industry sa, Index",IND,India,A,Annual,2017,2017,IDX,Index,0,Units,2015_100,2015=100,108.9342,,
PRINTO01,"Production of total industry sa, Index",IND,India,A,Annual,2018,2018,IDX,Index,0,Units,2015_100,2015=100,114.5467,,
PRINTO01,"Production of total industry sa, Index",IND,India,A,Annual,2019,2019,IDX,Index,0,Units,2015_100,2015=100,115.3053,,
PRINTO01,"Production of total industry sa, Index",IND,India,M,Monthly,1994-04,Apr-1994,IDX,Index,0,Units,2015_100,2015=100,26.96272,,
PRINTO01,"Production of total industry sa, Index",IND,India,M,Monthly,1994-05,May-1994,IDX,Index,0,Units,2015_100,2015=100,27.40025,,
PRINTO01,"Production of total industry sa, Index",IND,India,M,Monthly,1994-06,Jun-1994,IDX,Index,0,Units,2015_100,2015=100,28.1054,,
PRINTO01,"Production of total industry sa, Index",IND,India,M,Monthly,1994-07,Jul-1994,IDX,Index,0,Units,2015_100,2015=100,28.35721,,
PRINTO01,"Production of total industry sa, Index",IND,India,M,Monthly,1994-08,Aug-1994,IDX,Index,0,Units,2015_100,2015=100,28.52628,,
PRINTO01,"Production of total industry sa, Index",IND,India,M,Monthly,1994-09,Sep-1994,IDX,Index,0,Units,2015_100,2015=100,28.655820000000002,,
PRINTO01,"Production of total industry sa, Index",IND,India,M,Monthly,1994-10,Oct-1994,IDX,Index,0,Units,2015_100,2015=100,29.13908,,
PRINTO01,"Production of total industry sa, Index",IND,India,M,Monthly,1994-11,Nov-1994,IDX,Index,0,Units,2015_100,2015=100,29.586129999999997,,
PRINTO01,"Production of total industry sa, Index",IND,India,M,Monthly,1994-12,Dec-1994,IDX,Index,0,Units,2015_100,2015=100,29.999159999999996,,
PRINTO01,"Production of total industry sa, Index",IND,India,M,Monthly,1995-01,Jan-1995,IDX,Index,0,Units,2015_100,2015=100,30.555640000000004,,
PRINTO01,"Production of total industry sa, Index",IND,India,M,Monthly,1995-02,Feb-1995,IDX,Index,0,Units,2015_100,2015=100,30.344759999999997,,
PRINTO01,"Production of total industry sa, Index",IND,India,M,Monthly,1995-03,Mar-1995,IDX,Index,0,Units,2015_100,2015=100,30.559820000000002,,
PRINTO01,"Production of total industry sa, Index",IND,India,M,Monthly,1995-04,Apr-1995,IDX,Index,0,Units,2015_100,2015=100,31.21769,,
PRINTO01,"Production of total industry sa, Index",IND,India,M,Monthly,1995-05,May-1995,IDX,Index,0,Units,2015_100,2015=100,30.960929999999998,,
PRINTO01,"Production of total industry sa, Index",IND,India,M,Monthly,1995-06,Jun-1995,IDX,Index,0,Units,2015_100,2015=100,31.234109999999998,,
PRINTO01,"Production of total industry sa, Index",IND,India,M,Monthly,1995-07,Jul-1995,IDX,Index,0,Units,2015_100,2015=100,31.981579999999997,,
